#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
"gun_20_x1_britain_bb,bc",,508,gun_20_x1,britain,"bb, bc",hood_gun_380_x1,1.5,1.57,1.05,0.9,nelson_gun_406_x1,1.5,1.57,1.05,0.82,nelson_gun_406_x1,1.5,1.57,1.05,0.82,kgeorge_gun_a_380_x1,1.81,1.885,1.05,0.68,kgeorge_gun_a_380_x1,1.81,1.885,1.05,0.68,,,,,,,,,,,,,,,,,,,
"gun_20_x2_britain_bb,bc",,508,gun_20_x2,britain,"bb, bc",hood_gun_380_x2,1.5,1.57,0.85,0.9,nelson_gun_406_x2,1.5,1.57,0.85,0.82,nelson_gun_406_x2,1.5,1.57,0.85,0.82,kgeorge_gun_a_380_x2,1.81,1.885,0.85,0.68,kgeorge_gun_a_380_x2,1.81,1.885,0.85,0.68,,,,,,,,,,,,,,,,,,,
"gun_20_x3_britain_bb,bc",,508,gun_20_x3,britain,"bb, bc",hood_gun_380_x3,1.5,1.57,0.7,0.9,nelson_gun_406_x3,1.5,1.57,0.7,0.82,nelson_gun_406_x3,1.5,1.57,0.7,0.82,kgeorge_gun_a_380_x3,1.81,1.885,0.7,0.68,kgeorge_gun_a_380_x3,1.81,1.885,0.7,0.68,,,,,,,,,,,,,,,,,,,
"gun_20_x4_britain_bb,bc",,508,gun_20_x4,britain,"bb, bc",hood_gun_380_x4,1.5,1.57,0.65,0.9,nelson_gun_406_x4,1.5,1.57,0.65,0.82,nelson_gun_406_x4,1.5,1.57,0.65,0.82,kgeorge_gun_a_380_x4,1.81,1.885,0.65,0.68,kgeorge_gun_a_380_x4,1.81,1.885,0.65,0.68,,,,,,,,,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_italy,,51,gun_2_x1,italy,,jap_tb_gun_76_x1,0.8,1.15,0.66,1.8,jap_tb_gun_76_x1,0.8,1.15,0.66,1.8,iowa_gun_127_x1,0.5,0.72,0.92,1.8,iowa_gun_127_x1,0.5,0.72,0.92,1.8,iowa_gun_127_x1,0.5,0.72,0.92,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x2_italy,,51,gun_2_x2,italy,,pen_gun_127_x2,0.45,0.665,0.7,1.48,hood_gun_140_x2,0.4,0.58,0.7,2.08,iowa_gun_127_x2,0.5,0.72,0.7,1.8,iowa_gun_127_x2,0.5,0.72,0.7,1.8,iowa_gun_127_x2,0.5,0.72,0.7,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x3_italy,,51,gun_2_x3,italy,,pen_gun_127_x3,0.45,0.665,0.55,1.4,hood_gun_140_x3,0.4,0.58,0.55,2.08,iowa_gun_127_x3,0.5,0.72,0.55,1.8,iowa_gun_127_x3,0.5,0.72,0.55,1.8,iowa_gun_127_x3,0.5,0.72,0.55,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x4_italy,,51,gun_2_x4,italy,,,,,,,,,,,,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,,,,,,,,,,,,,,,,,,,
gun_3_x1_italy_dd,,76,gun_3_x1,italy,"dd, tb",jap_tb_gun_76_x1,1.2,1.55,1,1.52,jap_tb_gun_76_x1,1.2,1.55,1,1.52,pola_gun_100_x1,0.75,0.98,1.45,1.84,pola_gun_100_x1,0.75,0.98,1.45,1.84,pola_gun_100_x1,0.75,0.98,1.45,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x2_italy_dd,,76,gun_3_x2,italy,"dd, tb",pen_gun_127_x2,0.675,0.89,1.08,1.26,hood_gun_140_x2,0.6,0.78,1.08,1.76,pola_gun_100_x2,0.75,0.98,1.08,1.84,pola_gun_100_x2,0.75,0.98,1.08,1.84,pola_gun_100_x2,0.75,0.98,1.08,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x3_italy_dd,,76,gun_3_x3,italy,"dd, tb",pen_gun_127_x3,0.675,0.89,0.83,1.18,hood_gun_140_x3,0.6,0.78,0.83,1.76,pola_gun_100_x3,0.75,0.98,0.83,1.84,pola_gun_100_x3,0.75,0.98,0.83,1.84,pola_gun_100_x3,0.75,0.98,0.83,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x4_italy_dd,,76,gun_3_x4,italy,"dd, tb",,,,,,,,,,,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,,,,,,,,,,,,,,,,,,,
gun_4_x1_italy_dd,,102,gun_4_x1,italy,"dd, tb",dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,pola_gun_100_x1,1,1.23,1.7,1.52,pola_gun_100_x1,1,1.23,1.7,1.52,pola_gun_100_x1,1,1.23,1.7,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x2_italy_dd,,102,gun_4_x2,italy,"dd, tb",pen_gun_127_x2,0.9,1.115,1.28,1.04,hood_gun_140_x2,0.8,0.98,1.28,1.46,pola_gun_100_x2,1,1.23,1.28,1.52,pola_gun_100_x2,1,1.23,1.28,1.52,pola_gun_100_x2,1,1.23,1.28,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x3_italy_dd,,102,gun_4_x3,italy,"dd, tb",pen_gun_127_x3,0.9,1.115,1,0.98,hood_gun_140_x3,0.8,0.98,1,1.46,pola_gun_100_x3,1,1.23,1,1.52,pola_gun_100_x3,1,1.23,1,1.52,pola_gun_100_x3,1,1.23,1,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x4_italy_dd,,102,gun_4_x4,italy,"dd, tb",,,,,,,,,,,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,,,,,,,,,,,,,,,,,,,
gun_5_x1_italy_dd,,127,gun_5_x1,italy,"dd, tb",dd_s_gun_c_102_x1,0.95,1.13,0.85,1.36,hood_gun_140_x1,1,1.18,1.25,1.14,pola_gun_100_x1,1.25,1.48,1.25,1.2,pola_gun_100_x1,1.25,1.48,1.25,1.2,pola_gun_100_x1,1.25,1.48,1.25,1.2,,,,,,,,,,,,,,,,,,,
gun_5_x2_italy_dd,,127,gun_5_x2,italy,"dd, tb",pen_gun_127_x2,1.125,1.34,0.95,0.82,hood_gun_140_x2,1,1.18,0.95,1.14,pola_gun_100_x2,1.25,1.48,0.95,1.2,pola_gun_100_x2,1.25,1.48,0.95,1.2,pola_gun_100_x2,1.25,1.48,0.95,1.2,,,,,,,,,,,,,,,,,,,
gun_5_x3_italy_dd,,127,gun_5_x3,italy,"dd, tb",pen_gun_127_x3,1.125,1.34,0.75,0.76,hood_gun_140_x3,1,1.18,0.75,1.14,pola_gun_100_x3,1.25,1.48,0.75,1.2,pola_gun_100_x3,1.25,1.48,0.75,1.2,pola_gun_100_x3,1.25,1.48,0.75,1.2,,,,,,,,,,,,,,,,,,,
gun_5_x4_italy_dd,,127,gun_5_x4,italy,"dd, tb",,,,,,,,,,,pola_gun_100_x4,1.25,1.48,0.68,1.2,pola_gun_100_x4,1.25,1.48,0.68,1.2,pola_gun_100_x4,1.25,1.48,0.68,1.2,,,,,,,,,,,,,,,,,,,
gun_3_x1_italy_cl,,76,gun_3_x1,italy,cl,jap_tb_gun_76_x1,1.2,1.55,1,1.52,jap_tb_gun_76_x1,1.2,1.55,1,1.52,pola_gun_100_x1,0.75,0.98,1.45,1.84,pola_gun_100_x1,0.75,0.98,1.45,1.84,pola_gun_100_x1,0.75,0.98,1.45,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x2_italy_cl,,76,gun_3_x2,italy,cl,pen_gun_127_x2,0.675,0.89,1.08,1.26,hood_gun_140_x2,0.6,0.78,1.08,1.76,pola_gun_100_x2,0.75,0.98,1.08,1.84,pola_gun_100_x2,0.75,0.98,1.08,1.84,pola_gun_100_x2,0.75,0.98,1.08,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x3_italy_cl,,76,gun_3_x3,italy,cl,pen_gun_127_x3,0.675,0.89,0.83,1.18,hood_gun_140_x3,0.6,0.78,0.83,1.76,pola_gun_100_x3,0.75,0.98,0.83,1.84,pola_gun_100_x3,0.75,0.98,0.83,1.84,pola_gun_100_x3,0.75,0.98,0.83,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x4_italy_cl,,76,gun_3_x4,italy,cl,,,,,,,,,,,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,,,,,,,,,,,,,,,,,,,
gun_4_x1_italy_cl,,102,gun_4_x1,italy,cl,dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,pola_gun_100_x1,1,1.23,1.7,1.52,pola_gun_100_x1,1,1.23,1.7,1.52,pola_gun_100_x1,1,1.23,1.7,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x2_italy_cl,,102,gun_4_x2,italy,cl,pen_gun_127_x2,0.9,1.115,1.28,1.04,hood_gun_140_x2,0.8,0.98,1.28,1.46,pola_gun_100_x2,1,1.23,1.28,1.52,pola_gun_100_x2,1,1.23,1.28,1.52,pola_gun_100_x2,1,1.23,1.28,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x3_italy_cl,,102,gun_4_x3,italy,cl,pen_gun_127_x3,0.9,1.115,1,0.98,hood_gun_140_x3,0.8,0.98,1,1.46,pola_gun_100_x3,1,1.23,1,1.52,pola_gun_100_x3,1,1.23,1,1.52,pola_gun_100_x3,1,1.23,1,1.52,,,,,,,,,,,,,,,,,,,
gun_4_x4_italy_cl,,102,gun_4_x4,italy,cl,,,,,,,,,,,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,,,,,,,,,,,,,,,,,,,
gun_5_x1_italy_cl,,127,gun_5_x1,italy,cl,dd_s_gun_c_102_x1,0.95,1.13,0.85,1.36,hood_gun_140_x1,1,1.18,1.25,1.14,hood_gun_140_x1,1,1.18,1.25,1.14,mont_gun_152_x1,0.875,1.045,1.25,1.34,mont_gun_152_x1,0.875,1.045,1.25,1.34,,,,,,,,,,,,,,,,,,,
gun_5_x2_italy_cl,,127,gun_5_x2,italy,cl,pen_gun_127_x2,1.125,1.34,0.95,0.82,hood_gun_140_x2,1,1.18,0.95,1.14,hood_gun_140_x2,1,1.18,0.95,1.14,mont_gun_152_x2,0.875,1.045,0.95,1.34,mont_gun_152_x2,0.875,1.045,0.95,1.34,,,,,,,,,,,,,,,,,,,
gun_5_x3_italy_cl,,127,gun_5_x3,italy,cl,pen_gun_127_x3,1.125,1.34,0.75,0.76,hood_gun_140_x3,1,1.18,0.75,1.14,hood_gun_140_x3,1,1.18,0.75,1.14,mont_gun_152_x3,0.875,1.045,0.75,1.34,mont_gun_152_x3,0.875,1.045,0.75,1.34,,,,,,,,,,,,,,,,,,,
gun_5_x4_italy_cl,,127,gun_5_x4,italy,cl,,,,,,,,,,,,,,,,mont_gun_152_x4,0.875,1.045,0.68,1.34,mont_gun_152_x4,0.875,1.045,0.68,1.34,,,,,,,,,,,,,,,,,,,
gun_6_x1_italy_cl,,152,gun_6_x1,italy,cl,dd_s_gun_c_102_x1,1.14,1.32,0.75,1.28,spee_gun_150_x1,1.05,1.215,1.185,1.4,spee_gun_150_x1,1.05,1.215,1.185,1.4,mont_gun_152_x1,1.050,1.22,1.185,1.28,mont_gun_152_x1,1.050,1.22,1.185,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x2_italy_cl,,152,gun_6_x2,italy,cl,tsesarevich_gun_152_x2,1.050,1.22,0.86,1.2,spee_gun_150_x2,1.05,1.215,0.86,1.4,spee_gun_150_x2,1.05,1.215,0.86,1.4,mont_gun_152_x2,1.050,1.22,0.86,1.28,mont_gun_152_x2,1.050,1.22,0.86,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x3_italy_cl,,152,gun_6_x3,italy,cl,tsesarevich_gun_152_x3,1.050,1.22,0.66,1.2,spee_gun_150_x3,1.05,1.215,0.66,1.4,spee_gun_150_x3,1.05,1.215,0.66,1.4,mont_gun_152_x3,1.050,1.22,0.66,1.28,mont_gun_152_x3,1.050,1.22,0.66,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x4_italy_cl,,152,gun_6_x4,italy,cl,,,,,,,,,,,,,,,,mont_gun_152_x4,1.050,1.22,0.6,1.28,mont_gun_152_x4,1.050,1.22,0.6,1.28,,,,,,,,,,,,,,,,,,,
"gun_3_x1_italy_ca,bb,bc",,76,gun_3_x1,italy,"ca, bb, bc",jap_tb_gun_76_x1,1.2,1.55,1,1.52,jap_tb_gun_76_x1,1.2,1.55,1,1.52,litt_gun_90_x1,0.75,0.98,1.45,1.92,litt_gun_90_x1,0.75,0.98,1.45,1.92,litt_gun_90_x1,0.75,0.98,1.45,1.92,,,,,,,,,,,,,,,,,,,
"gun_3_x2_italy_ca,bb,bc",,76,gun_3_x2,italy,"ca, bb, bc",pen_gun_127_x2,0.675,0.89,1.08,1.26,hood_gun_140_x2,0.6,0.78,1.08,1.76,litt_gun_90_x2,0.75,0.98,1.08,1.92,litt_gun_90_x2,0.75,0.98,1.08,1.92,litt_gun_90_x2,0.75,0.98,1.08,1.92,,,,,,,,,,,,,,,,,,,
"gun_3_x3_italy_ca,bb,bc",,76,gun_3_x3,italy,"ca, bb, bc",pen_gun_127_x3,0.675,0.89,0.83,1.18,hood_gun_140_x3,0.6,0.78,0.83,1.76,litt_gun_90_x3,0.75,0.98,0.83,1.92,litt_gun_90_x3,0.75,0.98,0.83,1.92,litt_gun_90_x3,0.75,0.98,0.83,1.92,,,,,,,,,,,,,,,,,,,
"gun_3_x4_italy_ca,bb,bc",,76,gun_3_x4,italy,"ca, bb, bc",,,,,,,,,,,litt_gun_90_x4,0.75,0.98,0.74,1.92,litt_gun_90_x4,0.75,0.98,0.74,1.92,litt_gun_90_x4,0.75,0.98,0.74,1.92,,,,,,,,,,,,,,,,,,,
"gun_4_x1_italy_ca,bb,bc",,102,gun_4_x1,italy,"ca, bb, bc",dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,litt_gun_90_x1,1,1.23,1.7,1.58,litt_gun_90_x1,1,1.23,1.7,1.58,litt_gun_90_x1,1,1.23,1.7,1.58,,,,,,,,,,,,,,,,,,,
"gun_4_x2_italy_ca,bb,bc",,102,gun_4_x2,italy,"ca, bb, bc",pen_gun_127_x2,0.9,1.115,1.28,1.04,hood_gun_140_x2,0.8,0.98,1.28,1.46,litt_gun_90_x2,1,1.23,1.28,1.58,litt_gun_90_x2,1,1.23,1.28,1.58,litt_gun_90_x2,1,1.23,1.28,1.58,,,,,,,,,,,,,,,,,,,
"gun_4_x3_italy_ca,bb,bc",,102,gun_4_x3,italy,"ca, bb, bc",pen_gun_127_x3,0.9,1.115,1,0.98,hood_gun_140_x3,0.8,0.98,1,1.46,litt_gun_90_x3,1,1.23,1,1.58,litt_gun_90_x3,1,1.23,1,1.58,litt_gun_90_x3,1,1.23,1,1.58,,,,,,,,,,,,,,,,,,,
"gun_4_x4_italy_ca,bb,bc",,102,gun_4_x4,italy,"ca, bb, bc",,,,,,,,,,,litt_gun_90_x4,1,1.23,0.85,1.58,litt_gun_90_x4,1,1.23,0.85,1.58,litt_gun_90_x4,1,1.23,0.85,1.58,,,,,,,,,,,,,,,,,,,
"gun_5_x1_italy_ca,bb,bc",,127,gun_5_x1,italy,"ca, bb, bc",tsesarevich_gun_152_x1,0.875,1.045,1.25,1.26,hood_gun_140_x1,1,1.18,1.25,1.14,hood_gun_140_x1,1,1.18,1.25,1.14,litt_gun_152a_x1,0.875,1.045,1.25,1.34,litt_gun_152a_x1,0.875,1.045,1.25,1.34,,,,,,,,,,,,,,,,,,,
"gun_5_x2_italy_ca,bb,bc",,127,gun_5_x2,italy,"ca, bb, bc",tsesarevich_gun_152_x2,0.875,1.045,0.95,1.26,hood_gun_140_x2,1,1.18,0.95,1.14,hood_gun_140_x2,1,1.18,0.95,1.14,litt_gun_152a_x2,0.875,1.045,0.95,1.34,litt_gun_152a_x2,0.875,1.045,0.95,1.34,,,,,,,,,,,,,,,,,,,
"gun_5_x3_italy_ca,bb,bc",,127,gun_5_x3,italy,"ca, bb, bc",tsesarevich_gun_152_x3,0.875,1.045,0.75,1.26,hood_gun_140_x3,1,1.18,0.75,1.14,hood_gun_140_x3,1,1.18,0.75,1.14,litt_gun_152a_x3,0.875,1.045,0.75,1.34,litt_gun_152a_x3,0.875,1.045,0.75,1.34,,,,,,,,,,,,,,,,,,,
"gun_5_x4_italy_ca,bb,bc",,127,gun_5_x4,italy,"ca, bb, bc",,,,,,,,,,,,,,,,litt_gun_152a_x4,0.875,1.045,0.68,1.34,litt_gun_152a_x4,0.875,1.045,0.68,1.34,,,,,,,,,,,,,,,,,,,
"gun_6_x1_italy_ca,bb,bc",,152,gun_6_x1,italy,"ca, bb, bc",tsesarevich_gun_152_x1,1.050,1.22,1.185,1.2,spee_gun_150_x1,1.05,1.215,1.185,1.4,spee_gun_150_x1,1.05,1.215,1.185,1.4,litt_gun_152a_x1,1.050,1.22,1.185,1.28,litt_gun_152a_x1,1.050,1.22,1.185,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x2_italy_ca,bb,bc",,152,gun_6_x2,italy,"ca, bb, bc",tsesarevich_gun_152_x2,1.050,1.22,0.86,1.2,spee_gun_150_x2,1.05,1.215,0.86,1.4,spee_gun_150_x2,1.05,1.215,0.86,1.4,litt_gun_152a_x2,1.050,1.22,0.86,1.28,litt_gun_152a_x2,1.050,1.22,0.86,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x3_italy_ca,bb,bc",,152,gun_6_x3,italy,"ca, bb, bc",tsesarevich_gun_152_x3,1.050,1.22,0.66,1.2,spee_gun_150_x3,1.05,1.215,0.66,1.4,spee_gun_150_x3,1.05,1.215,0.66,1.4,litt_gun_152a_x3,1.050,1.22,0.66,1.28,litt_gun_152a_x3,1.050,1.22,0.66,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x4_italy_ca,bb,bc",,152,gun_6_x4,italy,"ca, bb, bc",warrior_gun_228_x4,0.9,1.04,0.6,1.04,,,,,,,,,,,litt_gun_152a_x4,1.050,1.22,0.6,1.28,litt_gun_152a_x4,1.050,1.22,0.6,1.28,,,,,,,,,,,,,,,,,,,
"gun_7_x1_italy_cl,ca,bb,bc",,178,gun_7_x1,italy,"cl, ca, bb, bc",warrior_gun_228_x1,1.05,1.19,1.21,1.02,spee_gun_150_x1,1.225,1.39,1.21,1.38,spee_gun_150_x1,1.225,1.39,1.21,1.38,litt_gun_152a_x1,1.225,1.395,1.21,1.24,litt_gun_152a_x1,1.225,1.395,1.21,1.24,,,,,,,,,,,,,,,,,,,
"gun_7_x2_italy_cl,ca,bb,bc",,178,gun_7_x2,italy,"cl, ca, bb, bc",warrior_gun_228_x2,1.05,1.19,0.9,1.02,spee_gun_150_x2,1.225,1.39,0.9,1.38,spee_gun_150_x2,1.225,1.39,0.9,1.38,litt_gun_152a_x2,1.225,1.395,0.9,1.24,litt_gun_152a_x2,1.225,1.395,0.9,1.24,,,,,,,,,,,,,,,,,,,
"gun_7_x3_italy_cl,ca,bb,bc",,178,gun_7_x3,italy,"cl, ca, bb, bc",warrior_gun_228_x3,1.05,1.19,0.705,1.02,spee_gun_150_x3,1.225,1.39,0.705,1.38,spee_gun_150_x3,1.225,1.39,0.705,1.38,litt_gun_152a_x3,1.225,1.395,0.705,1.24,litt_gun_152a_x3,1.225,1.395,0.705,1.24,,,,,,,,,,,,,,,,,,,
"gun_7_x4_italy_cl,ca,bb,bc",,178,gun_7_x4,italy,"cl, ca, bb, bc",warrior_gun_228_x4,1.05,1.19,0.64,1.02,,,,,,,,,,,litt_gun_152a_x4,1.225,1.395,0.64,1.24,litt_gun_152a_x4,1.225,1.395,0.64,1.24,,,,,,,,,,,,,,,,,,,
"gun_8_x1_italy_ca,bb,bc",,203,gun_8_x1,italy,"ca, bb, bc",warrior_gun_228_x1,1.2,1.34,1.17,1,dido_gun_cal200_x1,0.78,0.86,1.17,1.38,dido_gun_cal200_x1,0.78,0.86,1.17,1.38,trento_gun_203_x1,1,1.12,1.17,1.22,trento_gun_203_x1,1,1.12,1.17,1.22,,,,,,,,,,,,,,,,,,,
"gun_8_x2_italy_ca,bb,bc",,203,gun_8_x2,italy,"ca, bb, bc",warrior_gun_228_x2,1.2,1.34,0.88,1,dido_gun_cal200_x2,0.78,0.86,0.88,1.38,dido_gun_cal200_x2,0.78,0.86,0.88,1.38,trento_gun_203_x2,1,1.12,0.88,1.22,trento_gun_203_x2,1,1.12,0.88,1.22,,,,,,,,,,,,,,,,,,,
"gun_8_x3_italy_ca,bb,bc",,203,gun_8_x3,italy,"ca, bb, bc",warrior_gun_228_x3,1.2,1.34,0.69,1,dido_gun_cal200_x3,0.78,0.86,0.69,1.38,dido_gun_cal200_x3,0.78,0.86,0.69,1.38,trento_gun_203_x3,1,1.12,0.69,1.22,trento_gun_203_x3,1,1.12,0.69,1.22,,,,,,,,,,,,,,,,,,,
"gun_8_x4_italy_ca,bb,bc",,203,gun_8_x4,italy,"ca, bb, bc",warrior_gun_228_x4,1.2,1.34,0.63,1,dido_gun_cal200_x4,0.78,0.86,0.63,1.38,dido_gun_cal200_x4,0.78,0.86,0.63,1.38,trento_gun_203_x4,1,1.12,0.63,1.22,trento_gun_203_x4,1,1.12,0.63,1.22,,,,,,,,,,,,,,,,,,,
"gun_9_x1_italy_ca,bb,bc",,229,gun_9_x1,italy,"ca, bb, bc",warrior_gun_228_x1,1.35,1.49,1.1,0.96,dido_gun_cal200_x1,0.87,0.95,1.1,1.36,dido_gun_cal200_x1,0.87,0.95,1.1,1.36,trento_gun_203_x1,1.125,1.245,1.1,1.18,trento_gun_203_x1,1.125,1.245,1.1,1.18,,,,,,,,,,,,,,,,,,,
"gun_9_x2_italy_ca,bb,bc",,229,gun_9_x2,italy,"ca, bb, bc",warrior_gun_228_x2,1.35,1.49,0.82,0.96,dido_gun_cal200_x2,0.87,0.95,0.82,1.36,dido_gun_cal200_x2,0.87,0.95,0.82,1.36,trento_gun_203_x2,1.125,1.245,0.82,1.18,trento_gun_203_x2,1.125,1.245,0.82,1.18,,,,,,,,,,,,,,,,,,,
"gun_9_x3_italy_ca,bb,bc",,229,gun_9_x3,italy,"ca, bb, bc",warrior_gun_228_x3,1.35,1.49,0.64,0.96,dido_gun_cal200_x3,0.87,0.95,0.64,1.36,dido_gun_cal200_x3,0.87,0.95,0.64,1.36,trento_gun_203_x3,1.125,1.245,0.64,1.18,trento_gun_203_x3,1.125,1.245,0.64,1.18,,,,,,,,,,,,,,,,,,,
"gun_9_x4_italy_ca,bb,bc",,229,gun_9_x4,italy,"ca, bb, bc",warrior_gun_228_x4,1.35,1.49,0.58,0.96,dido_gun_cal200_x4,0.87,0.95,0.58,1.36,dido_gun_cal200_x4,0.87,0.95,0.58,1.36,trento_gun_203_x4,1.125,1.245,0.58,1.18,trento_gun_203_x4,1.125,1.245,0.58,1.18,,,,,,,,,,,,,,,,,,,
"gun_10_x1_italy_ca,bb,bc",,254,gun_10_x1,italy,"ca, bb, bc",warrior_gun_228_x1,1.5,1.64,1.2,0.94,dido_gun_cal200_x1,0.96,1.04,1.2,1.34,dido_gun_cal200_x1,0.96,1.04,1.2,1.34,trento_gun_203_x1,1.25,1.37,1.2,1.14,trento_gun_203_x1,1.25,1.37,1.2,1.14,,,,,,,,,,,,,,,,,,,
"gun_10_x2_italy_ca,bb,bc",,254,gun_10_x2,italy,"ca, bb, bc",warrior_gun_228_x2,1.5,1.64,0.9,0.94,dido_gun_cal200_x2,0.96,1.04,0.9,1.34,dido_gun_cal200_x2,0.96,1.04,0.9,1.34,trento_gun_203_x2,1.25,1.37,0.9,1.14,trento_gun_203_x2,1.25,1.37,0.9,1.14,,,,,,,,,,,,,,,,,,,
"gun_10_x3_italy_ca,bb,bc",,254,gun_10_x3,italy,"ca, bb, bc",warrior_gun_228_x3,1.5,1.64,0.68,0.94,dido_gun_cal200_x3,0.96,1.04,0.68,1.34,dido_gun_cal200_x3,0.96,1.04,0.68,1.34,trento_gun_203_x3,1.25,1.37,0.68,1.14,trento_gun_203_x3,1.25,1.37,0.68,1.14,,,,,,,,,,,,,,,,,,,
"gun_10_x4_italy_ca,bb,bc",,254,gun_10_x4,italy,"ca, bb, bc",warrior_gun_228_x4,1.5,1.64,0.63,0.94,dido_gun_cal200_x4,0.96,1.04,0.63,1.34,dido_gun_cal200_x4,0.96,1.04,0.63,1.34,trento_gun_203_x4,1.25,1.37,0.63,1.14,trento_gun_203_x4,1.25,1.37,0.63,1.14,,,,,,,,,,,,,,,,,,,
"gun_11_x1_italy_ca,bb,bc",,279,gun_11_x1,italy,"ca, bb, bc",irresistible_gun_305_x1,1.475,1.495,1.07,0.7,dido_gun_cal200_x1,1.05,1.13,1.07,1.06,dido_gun_cal200_x1,1.05,1.13,1.07,1.06,trento_gun_203_x1,1.375,1.495,1.07,0.92,litt_gun_381_x1,0.825,0.895,1.07,0.98,,,,,,,,,,,,,,,,,,,
"gun_11_x2_italy_ca,bb,bc",,279,gun_11_x2,italy,"ca, bb, bc",irresistible_gun_305_x2,1.475,1.495,0.82,0.7,dido_gun_cal200_x2,1.05,1.13,0.82,1.06,dido_gun_cal200_x2,1.05,1.13,0.82,1.06,trento_gun_203_x2,1.375,1.495,0.82,0.92,litt_gun_381_x2,0.825,0.895,0.82,0.98,,,,,,,,,,,,,,,,,,,
"gun_11_x3_italy_ca,bb,bc",,279,gun_11_x3,italy,"ca, bb, bc",irresistible_gun_305_x3,1.475,1.495,0.66,0.7,dido_gun_cal200_x3,1.05,1.13,0.66,1.06,dido_gun_cal200_x3,1.05,1.13,0.66,1.06,trento_gun_203_x3,1.375,1.495,0.66,0.92,litt_gun_381_x3,0.825,0.895,0.66,0.98,,,,,,,,,,,,,,,,,,,
"gun_11_x4_italy_ca,bb,bc",,279,gun_11_x4,italy,"ca, bb, bc",irresistible_gun_305_x4,1.475,1.495,0.61,0.7,dido_gun_cal200_x4,1.05,1.13,0.61,1.06,dido_gun_cal200_x4,1.05,1.13,0.61,1.06,trento_gun_203_x4,1.375,1.495,0.61,0.92,litt_gun_381_x4,0.825,0.895,0.61,0.98,,,,,,,,,,,,,,,,,,,
"gun_12_x1_italy_bb,bc",,305,gun_12_x1,italy,"bb, bc",irresistible_gun_305_x1,1.5,1.62,1.07,0.75,irresistible_gun_305_x1,1.5,1.62,1.07,0.75,dreadnought_gun_c_305_x1,1.14,1.22,1.07,1.02,litt_gun_381_x1,0.9,0.97,1.07,0.98,litt_gun_381_x1,0.9,0.97,1.07,0.98,,,,,,,,,,,,,,,,,,,
