@name,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces
senegal,Senegal,c_atlantic,france,france,france,france,france,france,france,senegal,0,colony,5,10000,-1,-1,0,0,0,7,0125000002,2,"french_guinea, french_sudan, gambia, mauritania, portuguese_guinea"
sierra_leone,Sierra Leone,c_atlantic,britain,britain,britain,britain,britain,britain,britain,sierra_leone,0,colony,4,3000,-1,-1,0,0,0,7,0125000002,2,"french_guinea, liberia"
togoland,Togoland,w_africa,germany,germany,germany,germany,france,france,france,ghana,0,colony,5.69999981,20000,-1,1930,4,125,75,7,0125000002,2,"dahomey, gold_coast, upper_volta"
cape_verde,Cape Verde,c_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,cape_verde,0,colony,2,7500,-1,-1,0,0,0,2.5,0125000002,2,
french_sudan,French Sudan,c_atlantic,france,france,france,france,france,france,france,mali,0,colony,4,0,-1,-1,0,0,0,7,0125000002,2,"french_guinea, ivory_coast, mauritania, niger, senegal, southern_algeria, upper_volta"
niger,Niger,w_africa,france,france,france,france,france,france,france,niger,0,colony,3,0,-1,-1,0,0,0,7,0125000002,2,"chad, dahomey, fezzan-ghadames, french_sudan, nigeria, southern_algeria, upper_volta"
upper_volta,Upper Volta,w_africa,france,france,france,france,france,france,france,upper_volta,0,colony,3.4000001,0,-1,-1,0,0,0,7,0125000002,2,"dahomey, french_guinea, french_sudan, gold_coast, ivory_coast, niger, togoland"
chad,Chad,w_africa,france,france,france,france,france,france,france,chad,0,colony,2.5,0,-1,-1,0,0,0,7,0125000002,2,"cameroon, central_african_republic, congo_free_state, cyrenaica, fezzan-ghadames, niger, nigeria, sudan"
central_african_republic,Central African Republic,w_africa,france,france,france,france,france,france,france,central_african_republic,0,colony,2.20000005,0,-1,-1,0,0,0,7,0125000002,2,"cameroon, chad, congo_free_state, middle_congo, south_sudan, sudan"
central_usa,Central USA,n_am_west,usa,usa,usa,usa,usa,usa,usa,usa,1,home,30,0,-1,1890,100,1000,500,7,0125000002,2,"british_columbia, canadian_prairies, central_canada, eastern_usa, gulf_coast, southeastern_seaboard, western_usa"
bolivia,Bolivia,s_am_west,spain,spain,spain,spain,spain,spain,spain,bolivia,0,colony,4,0,-1,-1,0,0,0,7,0125000002,2,"argentina, chile, north_brazil, paraguay, peru, south_brazil"
paraguay,Paraguay,s_am_west,spain,spain,spain,spain,spain,spain,spain,paraguay,0,colony,3,0,-1,-1,0,0,0,7,0125000002,2,"argentina, bolivia, south_brazil, uruguay"
bechuanaland,Bechuanaland,s_atlantic,britain,britain,britain,britain,britain,britain,britain,botswana,0,colony,3.5,0,-1,-1,0,0,0,2.5,0125000002,2,"south_africa, southern_rhodesia, southwest_africa"
luxembourg,Luxembourg,n_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,luxembourg,0,home,4.5,0,-1,-1,0,0,0,2.5,0599999987,2,"belgium, northern_france, southern_germany, western_germany"
southern_germany,Southern Germany,n_sea,germany,germany,germany,germany,germany,germany,germany,germany,1,home,25,0,-1,-1,0,0,0,7,0299999993,2,"austria, bohemia-moravia, eastern_germany, luxembourg, northern_france, switzerland, western_germany"
transjordania,Transjordania,medit,greece,greece,greece,greece,greece,greece,greece,jordan,0,colony,3.5999999,0,-1,-1,0,0,0,7,0125000002,2,"arabia, hejaz, iraq, palestine, syria"
mongolia,Mongolia,japan_sea,china,china,china,china,china,china,v,mongolia,0,colony,2,0,-1,-1,0,0,0,7,0125000002,3,"northern_china, siberian_russia, xinjiang"
manchuria,Manchuria,japan_sea,china,china,china,china,china,china,japan,china,1,home,7,0,-1,1930,15,2000,2000,7,0125000002,2,"liaodong_peninsula, northeast_korea, northern_china, russian_far_east"
siberian_russia,Siberian Russia,οkhotsk_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,7.5,0,-1,1925,15,4000,2000,2.5,0125000002,5,"central_russia, china, eastern_siberia, kazakhstan, mongolia, northern_russia, russian_far_east, southern_siberia, xinjiang"
laos,Laos,se_asia,france,france,france,france,france,france,france,laos,0,colony,2.70000005,0,-1,-1,0,0,0,10,0299999993,3,"annam, burma, southern_china, thailand, tonkin"
bosporus,Bosporus,b_sea,greece,greece,greece,greece,greece,greece,greece,greece,1,home,8,80000,-1,-1,0,0,0,2.5,0299999993,2,"dardanelles, eastern_rumelia, northern_greece, northern_turkey"
eastern_turkey,Eastern Turkey,b_sea,greece,greece,greece,greece,greece,greece,greece,greece,1,home,9,80000,-1,1930,1,150,100,6,0.119999997,2,"armenia, georgia, iraq, northern_turkey, persia, southern_turkey, syria, western_turkey"
northern_ireland,Northern Ireland,irish_sea,britain,britain,britain,britain,britain,britain,britain,ireland,1,home,20,25000,-1,-1,0,0,0,15,0299999993,2,
northern_china,Northern China,yellow_sea,china,china,china,china,china,china,china,china,1,home,11,0,-1,1890,100,1500,2000,15,0149999997,2,"central_china, manchuria, mongolia, northeast_china, xinjiang"
northeast_china,Northeast China,yellow_sea,china,china,china,china,china,china,china,china,1,home,20,120000,-1,1890,100,2000,2000,7,0149999997,2,"central_china, eastern_china, kiautschou_bay, liaodong_peninsula, northern_china, weihaiwei"
eastern_china,Eastern China,east_asia,china,china,china,china,china,china,china,china,1,home,25,120000,-1,1890,100,2000,2000,7,0149999997,2,"central_china, northeast_china, southern_china"
central_china,Central China,east_asia,china,china,china,china,china,china,china,china,1,home,10,0,-1,1930,1,200,1000,7,0149999997,2,"eastern_china, northeast_china, northern_china, southern_china, tibet, xinjiang"
southern_china,Southern China,se_asia,china,china,china,china,china,china,china,china,1,home,15,75000,-1,1920,5,1750,2000,7,0149999997,2,"burma, central_china, eastern_china, hong_kong, kwang-chou-wan, laos, tonkin"
north_hokkaido,North Hokkaido,japan_sea,japan,japan,japan,japan,japan,japan,japan,japan,1,home,2,45000,-1,-1,0,0,0,7,0125000002,3,south_hokkaido
south_hokkaido,South Hokkaido,ne_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,3,45000,-1,-1,0,0,0,7,0125000002,3,north_hokkaido
north_honshu,North Honshu,japan_sea,japan,japan,japan,japan,japan,japan,japan,japan,1,home,11,145000,-1,-1,0,0,0,7,0125000002,3,south_honshu
south_honshu,South Honshu,ne_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,13,145000,-1,-1,0,0,0,7,0125000002,3,north_honshu
kyushu,Kyushu,east_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,3,145000,-1,-1,0,0,0,7,0125000002,3,
shikoku,Shikoku,ne_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,2.5,145000,-1,-1,0,0,0,7,0125000002,3,
okinawa_islands,Okinawa Islands,east_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,1.5,45000,-1,-1,0,0,0,7,0125000002,3,
southern_alaska,Southern Alaska,alaska_gulf,usa,usa,usa,usa,usa,usa,usa,alaska,0,colony,1,25000,-1,1930,5,950,400,2.5,0125000002,2,"british_columbia, eastern_aleutians, northern_alaska, northern_canada"
eastern_siberia,Eastern Siberia,bering_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,0.400000006,0,-1,1930,1,1000,500,2.5,0125000002,5,"kamchatka, siberian_russia, southern_siberia"
northern_alaska,Northern Alaska,bering_sea,usa,usa,usa,usa,usa,usa,usa,alaska,1,home,0.5,0,-1,1930,3,1000,500,2.5,0125000002,5,"northern_canada, southern_alaska"
bahrain,Bahrain,persian_gulf,britain,britain,britain,britain,britain,britain,britain,bahrain,0,colony,4,1000,-1,1925,5,1250,400,2.5,0125000002,2,"arabia, qatar"
burma,Burma,benghal_sea,britain,britain,britain,britain,britain,britain,britain,burma,0,colony,5,1000,-1,1890,100,900,500,2.5,0125000002,2,"bangladesh, laos, malaya, north-east_frontier, southern_china, thailand"
qatar,Qatar,persian_gulf,greece,greece,greece,greece,britain,britain,britain,qatar,0,colony,2,2000,-1,1930,5,1700,500,2.5,0329999998,2,"arabia, bahrain"
ceylon,Ceylon,benghal_sea,britain,britain,britain,britain,britain,britain,britain,ceylon,0,colony,4.19999981,1000,-1,-1,0,0,0,2.5,0125000002,2,
djibouti,Djibouti,arabian_sea,france,france,france,france,france,france,france,djibouti,0,colony,4,1000,-1,1930,5,350,100,2.5,0125000002,2,"british_somaliland, eritrea, ethiopia"
eritrea,Eritrea,red_sea,italy,italy,italy,italy,italy,italy,italy,eritrea,0,colony,3,3000,-1,1930,5,400,100,2.5,0125000002,2,"djibouti, ethiopia, sudan"
western_india,Western India,arabian_sea,britain,britain,britain,britain,britain,britain,britain,india,0,colony,15,80000,-1,1890,100,250,1000,15,0125000002,2,"eastern_india, northern_india, pakistan"
eastern_india,Eastern India,benghal_sea,britain,britain,britain,britain,britain,britain,britain,india,0,colony,20,80000,-1,1890,100,550,1000,15,0125000002,2,"bangladesh, north-east_frontier, northern_india, western_india"
northern_india,Northern India,benghal_sea,britain,britain,britain,britain,britain,britain,britain,india,0,colony,10,80000,-1,1890,0,0,0,2.5,0125000002,2,"bangladesh, bhutan, eastern_india, kashmir, nepal, north-east_frontier, pakistan, tibet, western_india"
pakistan,Pakistan,arabian_sea,britain,britain,britain,britain,pakistan,pakistan,pakistan,pakistan,0,colony,6.5,80000,-1,1930,5,400,30,2.5,0125000002,2,"afghanistan, kashmir, northern_india, persia, western_india"
bangladesh,Bangladesh,benghal_sea,britain,britain,britain,britain,britain,britain,britain,bangladesh,0,colony,4.5,80000,-1,-1,0,0,0,2.5,0125000002,2,"bhutan, burma, eastern_india, northern_india"
kashmir,Kashmir,benghal_sea,britain,britain,britain,britain,britain,britain,britain,sikh,0,colony,3.5,0,-1,1930,5,700,200,2.5,0125000002,2,"afghanistan, northern_india, pakistan, tibet, xinjiang"
andaman_islands,Andaman Islands,benghal_sea,britain,britain,britain,britain,britain,britain,britain,india,0,colony,0.5,5000,-1,-1,0,0,0,2.5,0125000002,2,
persia,Persia,persian_gulf,greece,greece,greece,greece,greece,britain,britain,persia,0,colony,10,25000,-1,1905,15,4600,2000,7,0125000002,2,"afghanistan, armenia, azerbaijan, eastern_turkey, iraq, pakistan, turkmenistan"
iraq,Iraq,persian_gulf,greece,greece,greece,greece,britain,britain,britain,iraq,0,colony,6.80000019,13000,-1,1910,25,3500,2000,7,0329999998,2,"arabia, eastern_turkey, kuwait, persia, syria, transjordania"
kuwait,Kuwait,persian_gulf,greece,greece,greece,greece,greece,greece,greece,kuwait,0,colony,3.5,20000,-1,1930,10,2500,2000,2.5,0329999998,2,"arabia, iraq"
british_east_africa,British East Africa,indian_west,britain,britain,britain,britain,britain,britain,britain,kenya,0,colony,4,1000,-1,-1,0,0,0,2.5,0125000002,2,"ethiopia, italian_somaliland, south_sudan, tanganyika, uganda"
maldives,Maldives,arabian_sea,britain,britain,britain,britain,britain,britain,britain,maldives,0,colony,1.20000005,4000,-1,-1,0,0,0,2.5,0125000002,2,
seychelles,Seychelles,indian_west,britain,britain,britain,britain,britain,britain,britain,seychelles,0,colony,0.800000012,3000,-1,-1,0,0,0,2.5,0125000002,2,
comoros,Comoros,indian_west,france,france,france,france,france,france,france,comoros,0,colony,1.39999998,3000,-1,-1,0,0,0,2.5,0125000002,2,
mauritius,Mauritius,indian_west,britain,britain,britain,britain,britain,britain,britain,mauritius,0,colony,1.45000005,5500,-1,-1,0,0,0,2.5,0125000002,2,
reunion,Réunion,indian_west,france,france,france,france,france,france,france,reunion,0,colony,1.35000002,4500,-1,-1,0,0,0,2.5,0125000002,2,
madagascar,Madagascar,indian_west,france,france,france,france,france,france,france,madagascar,0,colony,5,5000,-1,-1,0,0,0,2.5,00850000046,2,
mozambique,Mozambique,indian_west,portugal,portugal,portugal,portugal,portugal,portugal,portugal,mozambique,0,colony,5,2000,-1,-1,0,0,0,2.5,00499999989,2,"northern_rhodesia, nyasaland, south_africa, southern_rhodesia, tanganyika, transvaal"
oman,Oman,arabian_sea,greece,greece,greece,greece,greece,greece,greece,oman,0,colony,3,2000,-1,1935,2,800,1000,7,0125000002,2,"arabia, trucial_states, yemen"
arabia,Arabia,persian_gulf,greece,greece,greece,greece,greece,greece,greece,arabia,0,colony,4.80000019,12000,-1,1930,20,10000,2000,15,0149999997,2,"bahrain, hejaz, iraq, kuwait, oman, qatar, transjordania, trucial_states, yemen"
hejaz,Hejaz,red_sea,greece,greece,greece,greece,greece,greece,greece,arabia,0,colony,5,20000,-1,1935,1,500,1000,15,0149999997,2,"arabia, transjordania, yemen"
british_somaliland,British Somaliland,arabian_sea,britain,britain,britain,britain,britain,britain,britain,somalia,0,colony,2,12000,-1,1930,4,400,100,2.5,0125000002,2,"djibouti, ethiopia, italian_somaliland"
italian_somaliland,Italian Somaliland,indian_west,italy,italy,italy,italy,italy,italy,italy,somalia,0,colony,3,1000,-1,1930,3,400,100,2.5,0125000002,2,"british_east_africa, british_somaliland, ethiopia"
sudan,Sudan,red_sea,britain,britain,britain,britain,britain,britain,britain,sudan,0,colony,5,5000,-1,1930,5,400,500,2.5,0125000002,2,"central_african_republic, chad, cyrenaica, eritrea, ethiopia, south_egypt, south_sudan, uganda"
tanganyika,Tanganyika,indian_west,germany,germany,germany,germany,britain,britain,britain,tanganyika,0,colony,5,1000,-1,1930,4,400,100,2.5,0125000002,2,"british_east_africa, burundi, congo_free_state, mozambique, northern_rhodesia, nyasaland, rwanda, uganda"
trucial_states,Trucial States,persian_gulf,britain,britain,britain,britain,britain,britain,britain,uae,0,colony,1.20000005,1000,-1,1930,5,600,500,2.5,0125000002,2,"arabia, oman"
yemen,Yemen,arabian_sea,greece,greece,greece,greece,greece,greece,greece,yemen,0,colony,3,1000,-1,1930,4,400,100,2.5,0350000001,2,"arabia, hejaz, oman"
zanzibar,Zanzibar,indian_west,britain,britain,britain,britain,britain,britain,britain,zanzibar,0,colony,1.5,1000,-1,1930,10,90,100,2.5,0125000002,2,
kerguelen_islands,Kerguelen Islands,indian_south,france,france,france,france,france,france,france,taaf,0,colony,0.100000001,3000,-1,1930,4,200,100,2.5,0125000002,2,
northeast_korea,Northeast Korea,japan_sea,japan,japan,japan,japan,japan,japan,japan,korea,0,colony,5.5,35000,-1,-1,0,0,0,7,0350000001,2,"liaodong_peninsula, manchuria, northwest_korea, southeast_korea"
northwest_korea,Northwest Korea,yellow_sea,japan,japan,japan,japan,japan,japan,japan,korea,0,colony,4.5,35000,-1,-1,0,0,0,7,0350000001,2,"liaodong_peninsula, northeast_korea, southeast_korea, southwest_korea"
southeast_korea,Southeast Korea,japan_sea,japan,japan,japan,japan,japan,japan,japan,korea,0,colony,4.5,50000,-1,-1,0,0,0,7,0350000001,2,"northeast_korea, northwest_korea, southwest_korea"
southwest_korea,Southwest Korea,yellow_sea,japan,japan,japan,japan,japan,japan,japan,korea,0,colony,6.5,50000,-1,-1,0,0,0,7,0350000001,2,"northwest_korea, southeast_korea"
northern_australia,Northern Australia,indonesian_sea,britain,britain,britain,britain,britain,britain,britain,australia,1,colony,8,30000,-1,1920,1,525,250,2.5,0125000002,2,"eastern_australia, western_australia"
western_australia,Western Australia,indian_east,britain,britain,britain,britain,britain,britain,britain,australia,1,colony,5,20000,-1,1920,5,525,250,2.5,0125000002,2,"eastern_australia, northern_australia"
eastern_australia,Eastern Australia,oceania_south,britain,britain,britain,britain,britain,britain,britain,australia,1,colony,10,20000,-1,1920,5,525,250,2.5,0125000002,2,"northern_australia, western_australia"
tasmania,Tasmania,oceania_south,britain,britain,britain,britain,britain,britain,britain,australia,0,colony,5,15000,-1,1930,1,200,100,2.5,0125000002,2,
bismarck_archipelago,Bismarck Archipelago,oceania_north,germany,germany,germany,germany,britain,britain,australia,bismarck_archipelago,0,colony,3,25000,-1,-1,0,0,0,2.5,0125000002,2,
caroline_islands,Caroline Islands,oceania_north,spain,spain,germany,germany,japan,japan,japan,caroline_islands,0,colony,2,15000,-1,1925,1,150,100,2.5,0125000002,2,
dutch_new_guinea,Dutch New Guinea,oceania_north,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,dutch_new_guinea,0,colony,5,3000,-1,1930,5,600,500,2.5,0125000002,2,territory_of_papua
german_new_guinea,German New Guinea,oceania_north,germany,germany,germany,germany,britain,britain,australia,200,0,colony,5,15000,-1,1911,6,400,200,2.5,0125000002,2,
guam,Guam,philip_sea,spain,spain,usa,usa,usa,usa,usa,guam,0,colony,0.5,20000,-1,-1,0,0,0,2.5,0250000004,2,
new_zealand,New Zealand,oceania_south,britain,britain,britain,britain,britain,britain,britain,new_zealand,0,colony,10,3000,-1,1930,4,250,100,2.5,0125000002,2,
northern_marianas,Northern Marianas,philip_sea,spain,spain,germany,germany,japan,japan,japan,northern_marianas,0,colony,0.699999988,10000,-1,-1,0,0,0,2.5,0125000002,2,
solomon_islands,Solomon Islands,oceania_north,germany,germany,britain,britain,britain,britain,britain,solomon_islands,0,colony,2.5,25000,-1,-1,0,0,0,2.5,0125000002,2,
territory_of_papua,Territory of Papua,oceania_north,britain,britain,britain,britain,britain,britain,britain,papua,0,colony,3,1000,-1,1912,2,300,0,2.5,0125000002,2,dutch_new_guinea
ethiopia,Ethiopia,arabian_sea,italy,italy,italy,italy,italy,italy,italy,ethiopia,0,colony,5,0,-1,-1,0,0,0,7,0125000002,2,"british_east_africa, british_somaliland, djibouti, eritrea, italian_somaliland, south_sudan, sudan"
uganda,Uganda,indian_west,britain,britain,britain,britain,britain,britain,britain,uganda,0,colony,3,0,-1,-1,0,0,0,7,0125000002,2,"british_east_africa, congo_free_state, rwanda, south_sudan, sudan, tanganyika"
nyasaland,Nyasaland,indian_west,britain,britain,britain,britain,britain,britain,britain,nyasaland,0,colony,2,0,-1,-1,0,0,0,2.5,0125000002,2,"mozambique, northern_rhodesia, tanganyika"
southern_rhodesia,Southern Rhodesia,indian_west,britain,britain,britain,britain,britain,britain,britain,zimbabwe,0,colony,3.9000001,0,-1,-1,0,0,0,2.5,0125000002,2,"bechuanaland, mozambique, northern_rhodesia, south_africa"
northern_rhodesia,Northern Rhodesia,indian_west,britain,britain,britain,britain,britain,britain,britain,zambia,0,colony,4999999,0,-1,-1,0,0,0,2.5,0125000002,2,"angola, congo_free_state, mozambique, nyasaland, southern_rhodesia, tanganyika"
orange_free_state,Orange Free State,indian_west,britain,britain,britain,britain,britain,britain,britain,boer,0,colony,2.9000001,0,-1,-1,0,0,0,35,00499999989,2,"basutoland, south_africa, transvaal"
transvaal,Transvaal,indian_west,britain,britain,britain,britain,britain,britain,britain,transvaal,0,colony,3.5,0,-1,-1,0,0,0,35,00499999989,2,"mozambique, orange_free_state, south_africa, swaziland"
afghanistan,Afghanistan,arabian_sea,britain,britain,britain,britain,britain,britain,britain,afghanistan,0,colony,4,0,-1,1930,4,550,250,45,00600000005,6,"india, kashmir, pakistan, persia, tajikistan, turkmenistan, uzbekistan, xinjiang"
nepal,Nepal,benghal_sea,britain,britain,britain,britain,britain,britain,britain,nepal,0,colony,3,0,-1,-1,0,0,0,25,0125000002,6,"bhutan, northern_india, tibet"
bhutan,Bhutan,benghal_sea,britain,britain,britain,britain,britain,britain,britain,bhutan,0,colony,1.5,0,-1,-1,0,0,0,2,0125000002,6,"bangladesh, nepal, north-east_frontier, northern_india, tibet"
tibet,Tibet,benghal_sea,china,china,china,china,china,china,china,tibet,1,home,5,0,-1,1920,00499999989,750,500,15,00999999978,5,"bhutan, central_china, kashmir, nepal, north-east_frontier, northern_india, xinjiang"
xinjiang,Xinjiang,benghal_sea,china,china,china,china,china,china,china,xinjiang,1,home,9,0,-1,1920,5,3500,500,12,0149999997,3,"afghanistan, central_china, kashmir, kazakhstan, kyrgyzstan, mongolia, northern_china, siberian_russia, tajikistan, tibet"
kazakhstan,Kazakhstan,arabian_sea,russia,russia,russia,russia,russia,russia,russia,kazakhstan,0,colony,5.5,0,-1,1897,15,650,2000,10,0125000002,3,"central_russia, kyrgyzstan, northern_russia, siberian_russia, southern_russia, uzbekistan, xinjiang"
uzbekistan,Uzbekistan,arabian_sea,russia,russia,russia,russia,russia,russia,russia,uzbekistan,0,colony,2.75,0,-1,1930,2,400,2000,10,0125000002,3,"afghanistan, kazakhstan, kyrgyzstan, tajikistan, turkmenistan"
turkmenistan,Turkmenistan,arabian_sea,russia,russia,russia,russia,russia,russia,russia,turkmenistan,0,colony,3,0,-1,1900,5,400,250,10,0125000002,3,"afghanistan, persia, uzbekistan"
kyrgyzstan,Kyrgyzstan,arabian_sea,russia,russia,russia,russia,russia,russia,russia,kyrgyzstan,0,colony,2,0,-1,1910,10,200,100,10,0125000002,3,"kazakhstan, tajikistan, uzbekistan, xinjiang"
tajikistan,Tajikistan,arabian_sea,russia,russia,russia,russia,russia,russia,russia,tajikistan,0,colony,2.5,0,-1,1930,5,75,35,10,0125000002,3,"afghanistan, kyrgyzstan, uzbekistan, xinjiang"
albania,Albania,adriatic,greece,greece,greece,greece,italy,italy,italy,albania,0,colony,3,2000,-1,1930,10,100,100,7,0329999998,3,"central_balkans, kosovo, montenegro, northern_greece"
galicia,Galicia,adriatic,austria,austria,austria,austria,austria,austria,austria,slovakia,1,home,17.5,180000,-1,1893,55,100,320,2.5,0125000002,3,"austria, bohemia-moravia, eastern_poland, hungary, ukraine"
bohemia-moravia,Bohemia-Moravia,adriatic,austria,austria,austria,austria,austria,austria,austria,czechia,1,home,10.5,180000,-1,-1,0,0,0,7,0125000002,3,"austria, eastern_germany, eastern_poland, galicia, poland, southern_germany"
hungary,Hungary,adriatic,austria,austria,austria,austria,austria,austria,austria,hungary,1,home,25.5,180000,-1,-1,0,0,0,7,0125000002,3,"austria, croatia, galicia, romania, serbia, slovenia, ukraine"
austria,Austria,adriatic,austria,austria,austria,austria,austria,austria,austria,austrianew,1,home,25.5,180000,-1,-1,0,0,0,7,0500000007,3,"bohemia-moravia, galicia, hungary, northeast_italy, slovenia, southern_germany, switzerland"
croatia,Croatia,adriatic,austria,austria,austria,austria,austria,austria,austria,croatia,1,home,12.5,120000,-1,-1,0,0,0,7,0500000007,2,"bosnia_&_herzegovina, hungary, montenegro, northeast_italy, serbia, slovenia"
slovenia,Slovenia,adriatic,austria,austria,austria,austria,austria,austria,austria,slovenia,1,home,4.5,0,-1,-1,0,0,0,7,0500000007,2,"austria, croatia, hungary, northeast_italy"
bosnia_&_herzegovina,Bosnia & Herzegovina,adriatic,austria,austria,austria,austria,austria,austria,austria,bosnia,1,home,5,0,-1,-1,0,0,0,7,0500000007,2,"croatia, montenegro, serbia"
dardanelles,Dardanelles,aegean,greece,greece,greece,greece,greece,greece,greece,greece,1,home,2,80000,-1,-1,0,0,0,2.5,0299999993,2,"bosporus, western_turkey"
western_turkey,Western Turkey,aegean,greece,greece,greece,greece,greece,greece,greece,greece,1,home,6,80000,-1,1930,1,150,100,6,0.119999997,2,"dardanelles, eastern_turkey, northern_turkey, southern_turkey"
northern_greece,Northern Greece,aegean,greece,greece,greece,greece,greece,greece,greece,greece,1,home,8.5,30000,-1,-1,0,0,0,33,0500000007,5,"albania, bosporus, bulgaria, central_balkans, eastern_rumelia, southern_greece"
southern_greece,Southern Greece,aegean,greece,greece,greece,greece,greece,greece,greece,greece,1,home,10,35000,-1,1930,1,200,100,33,0610000007,5,northern_greece
crete,Crete,aegean,greece,greece,greece,greece,greece,greece,greece,greece,1,home,3,35000,-1,1930,2,200,100,33,0599999987,8,
northeast_italy,Northeast Italy,adriatic,italy,italy,italy,italy,italy,italy,italy,italy,1,home,27,100000,-1,-1,0,0,0,7,0125000002,2,"austria, central_italy, croatia, northwest_italy, slovenia, switzerland"
southern_italy,Southern Italy,adriatic,italy,italy,italy,italy,italy,italy,italy,italy,1,home,20,120000,-1,-1,0,0,0,7,0299999993,2,central_italy
central_italy,Central Italy,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,24,80000,-1,-1,0,0,0,7,0299999993,2,"northeast_italy, northwest_italy, southern_italy"
malta,Malta,medit3,britain,britain,britain,britain,britain,britain,britain,malta,0,colony,2,25000,-1,-1,0,0,0,2.5,0125000002,2,
montenegro,Montenegro,adriatic,austria,austria,austria,austria,austria,austria,austria,serbia,0,colony,2,8000,-1,-1,0,0,0,2.5,0199999996,3,"albania, bosnia_&_herzegovina, central_balkans, croatia, kosovo, serbia"
dodecanese,Dodecanese,aegean,greece,greece,greece,greece,greece,greece,greece,greece,0,colony,2,20000,-1,-1,0,0,0,2.5,0299999993,6,
eastern_sicily,Eastern Sicily,medit3,italy,italy,italy,italy,italy,italy,italy,italy,1,home,7,45000,-1,1930,2,100,60,2.5,0299999993,2,western_sicily
tunisia,Tunisia,medit3,france,france,france,france,france,france,france,tunisia,0,colony,3,20000,-1,1930,5,375,200,7,00999999978,2,"northern_algeria, southern_algeria, tripolitania"
switzerland,Switzerland,adriatic,switzerland,switzerland,switzerland,switzerland,switzerland,switzerland,switzerland,switzerland,0,country,15,0,-1,-1,0,0,0,2.5,0299999993,7,"austria, northeast_italy, northern_france, northwest_italy, southern_france, southern_germany"
serbia,Serbia,adriatic,austria,austria,austria,austria,austria,austria,austria,serbia,0,colony,5,0,-1,-1,0,0,0,2.5,0399999991,3,"bosnia_&_herzegovina, bulgaria, central_balkans, croatia, hungary, kosovo, montenegro, romania"
central_balkans,Central Balkans,adriatic,greece,greece,greece,greece,greece,greece,greece,serbia,0,colony,3.5,0,-1,-1,0,0,0,7,0199999996,2.5,"albania, bulgaria, eastern_rumelia, kosovo, montenegro, northern_greece, serbia"
east_greenland,East Greenland,denmark_strait,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,greenland,0,colony,0.5,7000,-1,1920,1,900,500,2.5,0125000002,2,west_greenland
west_greenland,West Greenland,labrador_sea,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,greenland,0,colony,0.5,7000,-1,1920,1,900,500,2.5,0125000002,2,east_greenland
central_canada,Central Canada,n_am_east,britain,britain,britain,britain,britain,britain,britain,canada,0,country,7.5,100000,-1,-1,0,0,0,2.5,0125000002,2,"canadian_prairies, central_usa, eastern_usa, maine, new_brunswick, new_foundland, northern_canada"
canadian_prairies,Canadian Prairies,n_am_east,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,5,100000,-1,1890,100,550,1200,2.5,0125000002,2,"british_columbia, central_canada, central_usa, eastern_usa, maine, new_brunswick, new_foundland, western_usa"
northern_canada,Northern Canada,labrador_sea,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,1.5,100000,-1,1920,2,1000,500,2.5,0125000002,2,"british_columbia, central_canada, northern_alaska, southern_alaska"
south_sudan,South Sudan,red_sea,britain,britain,britain,britain,britain,britain,britain,sudan,0,colony,3,0,-1,1930,3,600,700,2.5,0125000002,2,"british_east_africa, central_african_republic, congo_free_state, ethiopia, sudan, uganda"
north_sakhalin,North Sakhalin,οkhotsk_sea,russia,russia,russia,russia,russia,russia,russia,sakhalin,0,colony,3.5,40000,-1,1920,2,400,500,3,0125000002,2,south_sakhalin
south_sakhalin,South Sakhalin,japan_sea,russia,russia,russia,japan,japan,japan,japan,sakhalin,0,colony,2.5,40000,-1,1920,2,400,500,3,0125000002,2,north_sakhalin
tripolitania,Tripolitania,medit3,greece,greece,greece,greece,italy,italy,italy,libya,0,colony,3,25000,-1,1925,5,850,1000,15,0299999993,1.5,"cyrenaica, fezzan-ghadames, northern_algeria, southern_algeria, tunisia"
cyrenaica,Cyrenaica,medit3,greece,greece,greece,greece,italy,italy,italy,libya,0,colony,3.5,25000,-1,1925,10,1100,1000,15,0299999993,1.5,"chad, fezzan-ghadames, north_egypt, south_egypt, sudan, tripolitania"
